ADC Channel - Charge distribution	ADC Counts - Charge distribution
-99.5	480
-98.5	469
-97.5	468
-96.5	436
-95.5	448
-94.5	484
-93.5	459
-92.5	449
-91.5	443
-90.5	477
-89.5	437
-88.5	468
-87.5	493
-86.5	443
-85.5	439
-84.5	466
-83.5	466
-82.5	460
-81.5	443
-80.5	477
-79.5	529
-78.5	449
-77.5	477
-76.5	522
-75.5	455
-74.5	476
-73.5	458
-72.5	473
-71.5	516
-70.5	512
-69.5	427
-68.5	471
-67.5	453
-66.5	473
-65.5	471
-64.5	446
-63.5	462
-62.5	470
-61.5	492
-60.5	460
-59.5	492
-58.5	504
-57.5	439
-56.5	499
-55.5	487
-54.5	501
-53.5	467
-52.5	445
-51.5	479
-50.5	487
-49.5	477
-48.5	481
-47.5	498
-46.5	430
-45.5	466
-44.5	467
-43.5	451
-42.5	469
-41.5	478
-40.5	509
-39.5	440
-38.5	477
-37.5	485
-36.5	471
-35.5	480
-34.5	475
-33.5	479
-32.5	459
-31.5	501
-30.5	462
-29.5	471
-28.5	465
-27.5	438
-26.5	443
-25.5	507
-24.5	482
-23.5	499
-22.5	467
-21.5	461
-20.5	444
-19.5	491
-18.5	439
-17.5	506
-16.5	445
-15.5	514
-14.5	495
-13.5	510
-12.5	463
-11.5	496
-10.5	457
-9.5	466
-8.5	483
-7.5	479
-6.5	485
-5.5	470
-4.5	482
-3.5	471
-2.5	460
-1.5	499
-0.5	473
0.5	447
1.5	480
2.5	514
3.5	498
4.5	463
5.5	490
6.5	441
7.5	487
8.5	498
9.5	479
10.5	489
11.5	469
12.5	455
13.5	451
14.5	443
15.5	466
16.5	464
17.5	484
18.5	468
19.5	486
20.5	461
21.5	477
22.5	467
23.5	458
24.5	513
25.5	472
26.5	485
27.5	497
28.5	469
29.5	505
30.5	506
31.5	452
32.5	518
33.5	460
34.5	483
35.5	491
36.5	455
37.5	488
38.5	461
39.5	474
40.5	492
41.5	442
42.5	493
43.5	503
44.5	470
45.5	515
46.5	509
47.5	468
48.5	498
49.5	464
50.5	498
51.5	510
52.5	482
53.5	453
54.5	484
55.5	458
56.5	486
57.5	469
58.5	480
59.5	534
60.5	462
61.5	517
62.5	491
63.5	479
64.5	466
65.5	442
66.5	485
67.5	492
68.5	489
69.5	505
70.5	487
71.5	472
72.5	480
73.5	469
74.5	486
75.5	468
76.5	474
77.5	473
78.5	501
79.5	495
80.5	521
81.5	508
82.5	479
83.5	470
84.5	489
85.5	472
86.5	454
87.5	519
88.5	471
89.5	461
90.5	471
91.5	494
92.5	503
93.5	441
94.5	424
95.5	452
96.5	461
97.5	450
98.5	497
99.5	496
100.5	478
101.5	492
102.5	469
103.5	451
104.5	497
105.5	456
106.5	463
107.5	518
108.5	454
109.5	465
110.5	496
111.5	511
112.5	477
113.5	481
114.5	513
115.5	491
116.5	495
117.5	485
118.5	442
119.5	498
120.5	460
121.5	460
122.5	532
123.5	511
124.5	472
125.5	462
126.5	493
127.5	523
128.5	479
129.5	505
130.5	462
131.5	450
132.5	462
133.5	466
134.5	473
135.5	468
136.5	462
137.5	476
138.5	491
139.5	497
140.5	508
141.5	493
142.5	481
143.5	482
144.5	478
145.5	502
146.5	483
147.5	484
148.5	490
149.5	467
150.5	491
151.5	475
152.5	487
153.5	511
154.5	471
155.5	474
156.5	479
157.5	511
158.5	486
159.5	513
160.5	498
161.5	483
162.5	480
163.5	486
164.5	475
165.5	518
166.5	494
167.5	503
168.5	434
169.5	479
170.5	517
171.5	488
172.5	500
173.5	506
174.5	473
