ADC Channel - Charge distribution	ADC Counts - Charge distribution
-99.5	0
-98.5	0
-97.5	0
-96.5	0
-95.5	0
-94.5	0
-93.5	0
-92.5	0
-91.5	0
-90.5	0
-89.5	0
-88.5	0
-87.5	0
-86.5	0
-85.5	0
-84.5	0
-83.5	0
-82.5	0
-81.5	0
-80.5	0
-79.5	0
-78.5	0
-77.5	0
-76.5	0
-75.5	0
-74.5	0
-73.5	0
-72.5	0
-71.5	0
-70.5	1
-69.5	3
-68.5	1
-67.5	6
-66.5	0
-65.5	3
-64.5	3
-63.5	2
-62.5	5
-61.5	6
-60.5	8
-59.5	7
-58.5	7
-57.5	17
-56.5	17
-55.5	20
-54.5	30
-53.5	30
-52.5	35
-51.5	35
-50.5	62
-49.5	47
-48.5	69
-47.5	104
-46.5	103
-45.5	142
-44.5	166
-43.5	187
-42.5	241
-41.5	229
-40.5	309
-39.5	341
-38.5	415
-37.5	433
-36.5	559
-35.5	636
-34.5	724
-33.5	821
-32.5	869
-31.5	1045
-30.5	1165
-29.5	1229
-28.5	1504
-27.5	1638
-26.5	1813
-25.5	1961
-24.5	2204
-23.5	2430
-22.5	2673
-21.5	2864
-20.5	3139
-19.5	3319
-18.5	3602
-17.5	3908
-16.5	4249
-15.5	4504
-14.5	4817
-13.5	5085
-12.5	5393
-11.5	5731
-10.5	5977
-9.5	6310
-8.5	6608
-7.5	6690
-6.5	7085
-5.5	7269
-4.5	7392
-3.5	7633
-2.5	7536
-1.5	7807
-0.5	7797
0.5	7877
1.5	7654
2.5	7647
3.5	7452
4.5	7264
5.5	6989
6.5	6757
7.5	6385
8.5	6018
9.5	5863
10.5	5529
11.5	5064
12.5	4760
13.5	4355
14.5	4069
15.5	3855
16.5	3436
17.5	3200
18.5	2779
19.5	2548
20.5	2245
21.5	2060
22.5	1781
23.5	1560
24.5	1337
25.5	1272
26.5	1122
27.5	944
28.5	779
29.5	694
30.5	619
31.5	534
32.5	448
33.5	392
34.5	327
35.5	291
36.5	245
37.5	182
38.5	162
39.5	137
40.5	149
41.5	103
42.5	105
43.5	96
44.5	91
45.5	75
46.5	73
47.5	66
48.5	63
49.5	62
50.5	64
51.5	40
52.5	45
53.5	42
54.5	36
55.5	38
56.5	50
57.5	43
58.5	44
59.5	35
60.5	47
61.5	43
62.5	42
63.5	39
64.5	42
65.5	36
66.5	36
67.5	41
68.5	38
69.5	49
70.5	30
71.5	40
72.5	31
73.5	33
74.5	37
75.5	39
76.5	36
77.5	30
78.5	38
79.5	35
80.5	38
81.5	26
82.5	47
83.5	34
84.5	35
85.5	39
86.5	38
87.5	35
88.5	30
89.5	42
90.5	25
91.5	41
92.5	37
93.5	34
94.5	30
95.5	36
96.5	38
97.5	34
98.5	35
99.5	39
100.5	25
101.5	38
102.5	37
103.5	41
104.5	36
105.5	34
106.5	42
107.5	49
108.5	34
109.5	38
110.5	35
111.5	46
112.5	31
113.5	42
114.5	43
115.5	41
116.5	41
117.5	39
118.5	46
119.5	54
120.5	48
121.5	45
122.5	50
123.5	52
124.5	63
125.5	56
126.5	87
127.5	82
128.5	64
129.5	81
130.5	98
131.5	124
132.5	130
133.5	136
134.5	174
135.5	155
136.5	188
137.5	244
138.5	262
139.5	271
140.5	277
141.5	357
142.5	433
143.5	477
144.5	515
145.5	646
146.5	680
147.5	771
148.5	887
149.5	1015
150.5	1107
151.5	1206
152.5	1412
153.5	1550
154.5	1715
155.5	1861
156.5	2040
157.5	2300
158.5	2471
159.5	2646
160.5	2909
161.5	3125
162.5	3554
163.5	3787
164.5	4030
165.5	4430
166.5	4549
167.5	4917
168.5	5109
169.5	5529
170.5	5733
171.5	6072
172.5	6222
173.5	6352
174.5	6848
175.5	6811
176.5	7190
177.5	7428
178.5	7625
179.5	7574
180.5	7815
181.5	7901
182.5	7771
183.5	7725
184.5	7687
185.5	7518
186.5	7479
187.5	7363
188.5	7121
189.5	6950
190.5	6816
191.5	6484
192.5	6286
193.5	5967
194.5	5702
195.5	5329
196.5	5085
197.5	4807
198.5	4482
199.5	4215
200.5	3866
201.5	3576
202.5	3349
203.5	3118
204.5	2854
205.5	2643
206.5	2387
207.5	2155
208.5	1957
209.5	1862
210.5	1629
211.5	1492
212.5	1338
213.5	1180
214.5	1152
215.5	1014
216.5	929
217.5	871
218.5	791
219.5	718
220.5	738
221.5	657
222.5	601
223.5	589
224.5	572
225.5	501
226.5	493
227.5	453
228.5	470
229.5	398
230.5	424
231.5	426
232.5	413
233.5	375
234.5	407
235.5	395
236.5	386
237.5	387
238.5	394
239.5	360
240.5	324
241.5	338
242.5	373
243.5	364
244.5	374
245.5	357
246.5	402
247.5	324
248.5	341
249.5	312
250.5	333
251.5	357
252.5	322
253.5	303
254.5	340
255.5	327
256.5	358
257.5	282
258.5	339
259.5	308
260.5	333
261.5	336
262.5	311
263.5	313
264.5	282
265.5	293
266.5	311
267.5	278
268.5	289
269.5	303
270.5	264
271.5	286
272.5	300
273.5	268
274.5	246
275.5	280
276.5	258
277.5	270
278.5	255
279.5	294
280.5	269
281.5	228
282.5	254
283.5	280
284.5	244
285.5	252
286.5	225
287.5	229
288.5	234
289.5	251
290.5	228
291.5	202
292.5	222
293.5	219
294.5	220
295.5	226
296.5	236
297.5	199
298.5	220
299.5	220
300.5	176
301.5	191
302.5	218
303.5	172
304.5	193
305.5	164
306.5	199
307.5	188
308.5	163
309.5	192
310.5	187
311.5	204
312.5	194
313.5	207
314.5	210
315.5	194
316.5	222
317.5	235
318.5	243
319.5	266
320.5	248
321.5	248
322.5	341
323.5	327
324.5	335
325.5	393
326.5	395
327.5	441
328.5	473
329.5	496
330.5	558
331.5	646
332.5	702
333.5	710
334.5	808
335.5	959
336.5	1040
337.5	1097
338.5	1159
339.5	1286
340.5	1355
341.5	1441
342.5	1585
343.5	1743
344.5	1929
345.5	2035
346.5	2035
347.5	2310
348.5	2442
349.5	2678
350.5	2777
351.5	2819
352.5	2942
353.5	3234
354.5	3207
355.5	3389
356.5	3653
357.5	3603
358.5	3812
359.5	3911
360.5	3997
361.5	4182
362.5	4195
363.5	4249
364.5	4218
365.5	4281
366.5	4197
367.5	4266
368.5	4222
369.5	4244
370.5	4044
371.5	4096
372.5	3987
373.5	3976
374.5	3850
375.5	3752
376.5	3596
377.5	3575
378.5	3194
379.5	3287
380.5	3040
381.5	2994
382.5	2886
383.5	2659
384.5	2503
385.5	2318
386.5	2264
387.5	2083
388.5	1966
389.5	1857
390.5	1765
391.5	1612
392.5	1499
393.5	1377
394.5	1294
395.5	1236
396.5	1093
397.5	1088
398.5	1047
399.5	872
400.5	844
401.5	820
402.5	783
403.5	787
404.5	667
405.5	711
406.5	613
407.5	540
408.5	596
409.5	497
410.5	514
411.5	533
412.5	530
413.5	470
414.5	493
415.5	486
416.5	460
417.5	453
418.5	445
419.5	469
420.5	461
421.5	430
422.5	442
423.5	440
424.5	435
425.5	424
426.5	413
427.5	452
428.5	423
429.5	433
430.5	407
431.5	410
432.5	346
433.5	380
434.5	404
435.5	399
436.5	367
437.5	414
438.5	390
439.5	358
440.5	374
441.5	359
442.5	362
443.5	373
444.5	338
445.5	382
446.5	333
447.5	344
448.5	340
449.5	335
450.5	352
451.5	361
452.5	299
453.5	334
454.5	312
455.5	318
456.5	317
457.5	346
458.5	304
459.5	304
460.5	296
461.5	300
462.5	320
463.5	327
464.5	316
465.5	295
466.5	292
467.5	330
468.5	298
469.5	289
470.5	297
471.5	272
472.5	270
473.5	270
474.5	258
475.5	245
476.5	249
477.5	274
478.5	258
479.5	256
480.5	240
481.5	238
482.5	212
483.5	238
484.5	244
485.5	206
486.5	216
487.5	216
488.5	230
489.5	222
490.5	202
491.5	174
492.5	204
493.5	188
494.5	207
495.5	217
496.5	221
497.5	190
498.5	202
499.5	219
500.5	234
501.5	225
502.5	235
503.5	259
504.5	257
505.5	263
506.5	239
507.5	287
508.5	267
509.5	302
510.5	290
511.5	356
512.5	331
513.5	367
514.5	394
515.5	411
516.5	432
517.5	467
518.5	483
519.5	532
520.5	552
521.5	606
522.5	603
523.5	674
524.5	751
525.5	730
526.5	783
527.5	870
528.5	898
529.5	1019
530.5	1018
531.5	1065
532.5	1126
533.5	1218
534.5	1204
535.5	1217
536.5	1318
537.5	1291
538.5	1438
539.5	1437
540.5	1451
541.5	1523
542.5	1559
543.5	1557
544.5	1646
545.5	1554
546.5	1624
547.5	1667
548.5	1617
549.5	1647
550.5	1645
551.5	1642
552.5	1630
553.5	1746
554.5	1616
555.5	1612
556.5	1581
557.5	1591
558.5	1548
559.5	1541
560.5	1421
561.5	1426
562.5	1393
563.5	1397
564.5	1297
565.5	1268
566.5	1185
567.5	1189
568.5	1196
569.5	1040
570.5	1045
571.5	946
572.5	935
573.5	912
574.5	823
575.5	807
576.5	693
577.5	714
578.5	698
579.5	659
580.5	613
581.5	592
582.5	525
583.5	532
584.5	477
585.5	480
586.5	470
587.5	434
588.5	438
589.5	382
590.5	402
591.5	372
592.5	389
593.5	344
594.5	329
595.5	341
596.5	312
597.5	319
598.5	304
599.5	321
600.5	324
601.5	332
602.5	295
603.5	278
604.5	315
605.5	282
606.5	252
607.5	260
608.5	273
609.5	291
610.5	259
611.5	269
612.5	291
613.5	274
614.5	271
615.5	243
616.5	227
617.5	265
618.5	270
619.5	247
620.5	241
621.5	293
622.5	248
623.5	262
624.5	246
625.5	241
626.5	251
627.5	226
628.5	254
